iter	RMSE
0	977.6001916
1	929.2137298
2	884.0164758
3	843.4555785
4	806.3468144
5	772.2150876
6	741.8178231
7	713.1491542
8	688.8566228
9	665.2852035
10	643.9918363
11	623.3276893
12	606.2670571
13	590.2412897
14	574.3755595
15	561.0132732
16	548.248019
17	536.0717091
18	526.4805526
19	517.2047907
20	509.5807291
21	501.3942853
22	494.7541006
23	488.059428
24	482.7865014
25	477.1088919
26	471.9791136
27	467.0371865
28	462.4319461
29	458.0782496
30	454.5267132
31	449.6705442
32	446.5123664
33	443.3565139
34	439.3759242
35	436.3485829
36	433.414842
37	429.9653881
38	427.5734027
39	425.1794739
40	423.1037984
41	421.1857974
42	418.3000355
43	416.7786939
44	415.0004097
45	413.4385195
46	410.7761447
47	408.6193945
48	407.0633284
49	405.6275016
50	402.1628523
51	399.8577641
52	396.8919127
53	395.4475548
54	394.2143728
55	393.3042246
56	391.7399695
57	390.8466402
58	389.4809318
59	388.5790093
60	387.3791988
61	385.6550684
62	384.6747789
63	383.4916397
64	381.9781743
65	379.7344314
66	378.7445793
67	376.8741011
68	376.2795472
69	374.4265329
70	373.0582397
71	372.0016255
72	371.0133213
73	370.0705527
74	369.1324938
75	368.2222528
76	366.8893351
77	365.9976816
78	365.4300044
79	364.7657532
80	363.6823177
81	363.3860025
82	362.1325266
83	361.5225392
84	360.2893343
85	359.3991991
86	358.7373904
87	357.4966648
88	357.3648039
89	356.2702765
90	355.9783901
91	355.4308787
92	353.9650738
93	353.066061
94	351.7780864
95	350.9354755
96	350.6107117
97	349.7539271
98	348.7488658
99	348.1333852
100	347.8059725
101	345.925679
102	345.2198539
103	344.6779708
104	344.2713302
105	343.4123577
106	342.6983787
107	342.2464562
108	341.3602715
109	340.3903009
110	339.8052976
111	339.1621207
112	338.7404731
113	338.1457801
114	337.3867423
115	336.38059
116	335.2746228
117	334.1401076
118	333.6164306
119	332.938298
120	332.0900171
121	331.1055887
122	330.6321838
123	329.7372139
124	328.9216422
125	328.2603612
126	327.955523
127	327.3845411
128	326.5867969
129	326.3196289
130	325.8947752
131	325.3900576
132	324.9118986
133	324.2594116
134	323.4983339
135	323.4607712
136	322.6079057
137	321.6470729
138	321.2018634
139	320.4496884
140	320.1054152
141	319.6068693
142	319.1265435
143	318.4246736
144	317.9695312
145	317.5410683
146	316.8308315
147	315.933401
148	315.1741775
149	314.3092116
150	313.5928952
151	312.8265402
152	312.4745543
153	311.7901525
154	311.2567754
155	310.4854271
156	309.8466864
157	309.3392431
158	308.8326615
159	308.4176197
160	308.1218081
161	307.4912478
162	306.9012603
163	306.3249873
164	305.671252
165	305.1093844
166	304.7539043
167	303.7431008
168	303.2017665
169	302.6371574
170	302.2267407
171	301.8903646
172	301.4754052
173	301.1178636
174	300.3559675
175	299.8501655
176	299.2240074
177	298.6448965
178	298.2078837
179	297.6008308
180	297.2633656
181	297.0156872
182	296.728346
183	295.9440125
184	295.3474812
185	294.9454375
186	294.6838439
187	294.1545375
188	293.6847081
189	293.0786734
190	292.7849131
191	292.2430809
192	291.9100085
193	291.6042994
194	291.4399812
195	290.9083184
196	290.3396488
197	290.084635
198	289.7239964
199	289.377639
200	289.1513961
201	288.8361431
202	288.4677191
203	287.7527904
204	287.2038283
205	286.936156
206	286.6976633
207	286.6663077
208	286.1673865
209	285.9522289
210	285.6085499
211	284.9970726
212	284.6351932
213	284.0105415
214	283.4981128
215	283.0874256
216	282.7810666
217	282.4430653
218	281.6607075
219	281.2765282
220	280.8511224
221	280.5840965
222	280.3716044
223	280.14814
224	279.5976312
225	279.2126665
226	278.9645571
227	278.4550122
228	278.2855092
229	278.0792368
230	277.7372449
231	277.1070487
232	276.5060925
233	276.4325803
234	276.1963776
235	275.8325843
236	275.6590824
237	275.3858416
238	275.2085434
239	275.1460267
240	274.5507297
241	274.1609948
242	273.7651237
243	273.6993428
244	273.1095497
245	272.6859767
246	272.4027
247	272.2053791
248	271.8151673
249	271.3052429
250	271.0667209
251	270.6449919
252	269.9355582
253	269.6884046
254	269.4667686
255	269.0726151
256	268.8670623
257	268.3383611
258	268.0666813
259	267.8855711
260	267.5971903
261	267.3277698
262	266.9690093
263	266.8574444
264	266.4151807
265	265.9534362
266	265.7184451
267	265.0445381
268	264.351072
269	264.1999013
270	264.0185492
271	263.7714001
272	263.1476506
273	263.1025631
274	262.8432804
275	262.5856358
276	262.548284
277	262.1760904
278	261.9164997
279	261.691289
280	261.5332176
281	261.3687809
282	261.2034423
283	260.9085911
284	260.4774289
285	260.1705759
286	259.9010655
287	259.5266567
288	259.3088085
289	258.9955647
290	258.7518656
291	258.5225335
292	258.3648837
293	258.1497725
294	257.9386915
295	257.656692
296	257.4725093
297	257.1483754
298	256.9924685
299	256.6256538
300	256.3722747
301	256.1937571
302	255.858571
303	255.5164365
304	255.2424111
305	254.9239108
306	254.7548232
307	254.2932219
308	254.0608705
309	253.6932836
310	253.3804248
311	253.1414227
312	252.8911545
313	252.6308999
314	252.0785736
315	251.8771521
316	251.5013372
317	251.3588516
318	251.2132458
319	250.9153263
320	250.7491609
321	250.4522742
322	250.2549034
323	249.9728793
324	249.7521464
325	249.491102
326	249.2861252
327	248.9905014
328	248.7435852
329	248.5891011
330	248.2437517
331	247.7289698
332	247.1255911
333	246.9310305
334	246.6817995
335	246.160892
336	245.8766903
337	245.6686791
338	245.4155657
339	245.1987839
340	245.0469498
341	244.7646232
342	244.4670379
343	244.3479689
344	244.1133822
345	243.8109524
346	243.6881009
347	243.3542161
348	243.2045345
349	242.9147454
350	242.6826298
351	242.5121709
352	242.2599647
353	241.7492131
354	241.6395057
355	241.4598593
356	241.0144653
357	240.571692
358	240.4226948
359	240.2853391
360	240.1495483
361	239.9356915
362	239.5512421
363	239.4260422
364	239.2452406
365	239.0396296
366	238.7451269
367	238.5980785
368	238.2289213
369	237.8421957
370	237.676745
371	237.4420667
372	237.2834223
373	237.153391
374	236.9677382
375	236.802441
376	236.5250472
377	236.2884637
378	235.9665641
379	235.7497997
380	235.5642543
381	235.4212654
382	235.3386012
383	234.9954825
384	234.512218
385	234.3899782
386	234.1461194
387	233.9100495
388	233.8073612
389	233.6704412
390	233.4811719
391	233.2167755
392	233.1033087
393	232.9607313
394	232.7916228
395	232.7168766
396	232.6148579
397	232.4095309
398	232.1595945
399	231.9511361
400	231.7756386
401	231.6610542
402	231.5683441
403	231.4396314
404	230.9932646
405	230.8848432
406	230.7221536
407	230.6298765
408	230.3084786
409	229.9289728
410	229.7581711
411	229.587189
412	229.3160141
413	229.1120612
414	228.9322272
415	228.8086042
416	228.7291335
417	228.5766699
418	228.4123953
419	227.9341409
420	227.7467776
421	227.5689556
422	227.3180689
423	227.1457393
424	226.8948098
425	226.7467852
426	226.590824
427	226.3203881
428	226.0404205
429	225.9448271
430	225.8572743
431	225.6985426
432	225.3022449
433	225.2035398
434	225.0692392
435	224.8482302
436	224.563904
437	224.4667348
438	224.1963148
439	224.1002377
440	223.8457088
441	223.7003079
442	223.570634
443	223.4910056
444	223.3997202
445	223.2665469
446	223.0463711
447	222.79975
448	222.5726569
449	222.4542282
450	222.329042
451	222.2366668
452	222.1179609
453	221.7619131
454	221.4927668
455	221.1794935
456	221.1333888
457	221.0083068
458	220.8578962
459	220.6397888
460	220.4523185
461	220.2564423
462	220.1737278
463	220.0420383
464	219.8924436
465	219.6032121
466	219.2948834
467	219.1800877
468	219.0728148
469	218.8184287
470	218.6836202
471	218.5323322
472	218.399588
473	218.27896
474	218.0607448
475	217.7733947
476	217.5889653
477	217.4713971
478	217.2755493
479	217.0389355
480	216.85767
481	216.6982432
482	216.3414389
483	216.226248
484	216.1049385
485	215.9434805
486	215.8856485
487	215.6508905
488	215.4700872
489	215.3581633
490	215.1747561
491	214.9767686
492	214.8174692
493	214.6024345
494	214.5050298
495	214.3023869
496	214.154507
497	214.0399192
498	214.0154471
499	213.8696801
500	213.598504
501	213.1993758
502	213.1538532
503	213.0255813
504	212.8486144
505	212.6316803
506	212.5361614
507	212.2950489
508	212.1985282
509	211.9965456
510	211.8378285
511	211.6852822
512	211.5292488
513	211.4877215
514	211.2613942
515	211.1428375
516	210.9452135
517	210.8249245
518	210.7126547
519	210.6080351
520	210.4324966
521	210.256418
522	210.2278706
523	210.108042
524	209.915886
525	209.8114691
526	209.6181013
527	209.3116331
528	209.1920299
529	209.0963042
530	208.9863142
531	208.7698108
532	208.4901918
533	208.408114
534	208.1965969
535	207.989859
536	207.9185004
537	207.8141202
538	207.7775338
539	207.6686151
540	207.5738132
541	207.4933929
542	207.4137314
543	207.2911886
544	207.0045411
545	206.9171385
546	206.809041
547	206.4091486
548	206.1967298
549	205.9243077
550	205.7213118
551	205.6182279
552	205.5082334
553	205.3455528
554	205.1880512
555	205.0244329
556	204.9204884
557	204.8236896
558	204.7587598
559	204.6013744
560	204.5074226
561	204.3960868
562	204.2951883
563	204.2286321
564	203.9758965
565	203.8617058
566	203.4798766
567	203.4207159
568	203.2508997
569	203.1042893
570	202.9398535
571	202.8631
572	202.7353641
573	202.3744571
574	202.2494102
575	202.1451366
576	202.0842313
577	202.0412143
578	201.9222483
579	201.8271883
580	201.6579705
581	201.5156254
582	201.4292047
583	201.1469075
584	200.9589848
585	200.8640883
586	200.7217527
587	200.5249292
588	200.4502751
589	200.2333138
590	200.10248
591	200.0502152
592	199.9713223
593	199.8026173
594	199.6804181
595	199.2255219
596	199.06469
597	199.0355168
598	198.8512074
599	198.6913571
600	198.567607
601	198.450362
602	198.349155
603	198.1064497
604	197.98272
605	197.9221596
606	197.7215148
607	197.6098819
608	197.4569273
609	197.2677754
610	197.043219
611	196.9980357
612	196.8402585
613	196.6034065
614	196.3464132
615	196.2446381
616	196.1023946
617	195.9454269
618	195.8435491
619	195.7411674
620	195.7008079
621	195.5708069
622	195.378199
623	195.1775167
624	195.0082227
625	194.9317879
626	194.8582721
627	194.7760677
628	194.6695743
629	194.5975461
630	194.4299051
631	194.3836445
632	194.3484435
633	194.2602177
634	194.1499211
635	194.0995206
636	193.9707419
637	193.7858163
638	193.6755364
639	193.5497523
640	193.4692892
641	193.40958
642	193.3107306
643	193.0734603
644	193.019182
645	192.8035286
646	192.6395531
647	192.3260155
648	192.2198958
649	192.0547102
650	191.9561223
651	191.8598716
652	191.6301674
653	191.4518407
654	191.2855513
655	191.1336243
656	190.9397016
657	190.8515358
658	190.7492262
659	190.67421
660	190.567565
661	190.4677913
662	190.4326783
663	190.1967505
664	189.9639212
665	189.898584
666	189.8348049
667	189.6978759
668	189.5952282
669	189.4891724
670	189.3514187
671	189.1214236
672	188.9771692
673	188.9065108
674	188.8319638
675	188.6883329
676	188.5903197
677	188.5325168
678	188.3882234
679	188.3093367
680	188.2162219
681	188.1282979
682	188.0389071
683	187.9553432
684	187.8705827
685	187.793632
686	187.688971
687	187.5331898
688	187.4868375
689	187.4222922
690	187.2958625
691	187.1949834
692	187.0774297
693	186.9941142
694	186.8000338
695	186.6858842
696	186.5121513
697	186.4643875
698	186.2631642
699	186.2312538
700	186.1823602
701	186.0039637
702	185.8996437
703	185.7462388
704	185.6425392
705	185.4678151
706	185.4002113
707	185.3265264
708	185.0991672
709	184.9533715
710	184.862189
711	184.6770978
712	184.5706304
713	184.3957166
714	184.2963239
715	184.2485732
716	184.1731526
717	184.1246889
718	184.0460508
719	183.9049786
720	183.8137834
721	183.5750162
722	183.4773793
723	183.3622803
724	183.2865326
725	183.1595314
726	183.0867599
727	182.9620857
728	182.9330959
729	182.8191636
730	182.7007225
731	182.5008879
732	182.4306055
733	182.3677013
734	182.2380363
735	182.1704223
736	181.9810926
737	181.843493
738	181.7533078
739	181.6568854
740	181.5518896
741	181.4419987
742	181.2876319
743	181.169156
744	181.0274655
745	180.8471162
746	180.7307873
747	180.6412792
748	180.5021948
749	180.3431629
750	180.2484293
751	180.1849138
752	180.1451833
753	180.0397481
754	179.9903445
755	179.9684734
756	179.8500381
757	179.80713
758	179.7417321
759	179.6144601
760	179.5023345
761	179.4190464
762	179.400664
763	179.3832419
764	179.2212243
765	179.1739174
766	179.1254712
767	179.0043236
768	178.9582118
769	178.7885103
770	178.6558553
771	178.6204442
772	178.4793955
773	178.4198789
774	178.3204796
775	178.2755765
776	178.1630504
777	178.0032931
778	177.9172776
779	177.7908741
780	177.6911372
781	177.6335592
782	177.5674064
783	177.5312271
784	177.5000897
785	177.3782038
786	177.2416746
787	177.1647696
788	177.0620128
789	176.9379449
790	176.8860341
791	176.8361356
792	176.7611571
793	176.6701402
794	176.6105888
795	176.543511
796	176.4952206
797	176.2779536
798	176.0523879
799	175.9847996
800	175.7698418
801	175.7231131
802	175.5975084
803	175.5138221
804	175.4146074
805	175.2356726
806	175.1902584
807	175.1503139
808	175.1062734
809	174.998634
810	174.9563172
811	174.7020444
812	174.6036299
813	174.5627915
814	174.4462901
815	174.4274235
816	174.2784935
817	174.1220314
818	174.0435934
819	173.8961576
820	173.7932433
821	173.7306749
822	173.5279829
823	173.4618341
824	173.4207466
825	173.2636223
826	173.2292516
827	173.187718
828	173.0986636
829	172.9328304
830	172.8855038
831	172.7692967
832	172.6840909
833	172.6309648
834	172.5904701
835	172.5094941
836	172.48285
837	172.3984228
838	172.3779323
839	172.3602652
840	172.185804
841	172.1451108
842	172.1228523
843	172.0201813
844	172.0042505
845	171.9484882
846	171.8757772
847	171.7599102
848	171.74489
849	171.7311104
850	171.6636317
851	171.571703
852	171.5580273
853	171.5451462
854	171.4874177
855	171.2560457
856	171.1095797
857	171.0115265
858	170.9748101
859	170.7440097
860	170.6623577
861	170.5730258
862	170.5113827
863	170.4737937
864	170.3969026
865	170.3068206
866	170.2841916
867	170.2159935
868	170.1124001
869	170.1002841
870	170.0791311
871	170.0151862
872	169.856389
873	169.7889151
874	169.7191701
875	169.3540702
876	169.278871
877	169.2358772
878	169.1662185
879	169.0939383
880	169.0578452
881	169.0063838
882	168.9295691
883	168.8955553
884	168.8572054
885	168.7576565
886	168.7399431
887	168.6705213
888	168.5855979
889	168.4730319
890	168.4371615
891	168.325297
892	168.2690976
893	168.1877564
894	168.1175354
895	168.0449945
896	167.9506043
897	167.8726533
898	167.7862147
899	167.7321702
900	167.5972104
901	167.4725014
902	167.4047146
903	167.2563916
904	167.1618366
905	167.1076005
906	166.9789384
907	166.8369634
908	166.798653
909	166.7328776
910	166.6805598
911	166.5694853
912	166.4876958
913	166.4058093
914	166.3034625
915	166.0998374
916	166.0251634
917	165.9300941
918	165.8506098
919	165.7861047
920	165.6889267
921	165.5937686
922	165.5288397
923	165.4282076
924	165.3646232
925	165.2084701
926	165.1348661
927	165.0757172
928	165.0404471
929	164.9984027
930	164.8904926
931	164.8143429
932	164.7316679
933	164.5645648
934	164.3814939
935	164.3215067
936	164.3202494
937	164.2386899
938	164.2054951
939	164.136645
940	164.0708393
941	164.0085553
942	163.8956909
943	163.842478
944	163.7935422
945	163.7120966
946	163.6747758
947	163.6251836
948	163.5607722
949	163.4850453
950	163.44293
951	163.396407
952	163.2113636
953	163.0824346
954	163.0403419
955	162.9652231
956	162.9145687
