iter	Passed	Remaining
0	4	4811
1	9	4824
2	13	4609
3	17	4418
4	23	4594
5	27	4503
6	31	4444
7	35	4367
8	39	4361
9	43	4301
10	47	4232
11	50	4178
12	54	4146
13	58	4109
14	61	4063
15	65	4032
16	69	4020
17	73	4005
18	77	3982
19	80	3967
20	84	3956
21	88	3942
22	92	3922
23	96	3916
24	99	3898
25	103	3888
26	107	3876
27	111	3860
28	114	3850
29	118	3845
30	122	3836
31	126	3827
32	130	3824
33	134	3821
34	138	3820
35	142	3817
36	146	3811
37	150	3799
38	154	3810
39	158	3811
40	162	3809
41	167	3810
42	171	3809
43	175	3802
44	178	3798
45	182	3785
46	186	3781
47	190	3776
48	194	3766
49	197	3756
50	202	3760
51	205	3754
52	209	3749
53	213	3748
54	217	3740
55	221	3737
56	225	3733
57	229	3720
58	232	3713
59	236	3712
60	240	3704
61	244	3697
62	248	3690
63	252	3689
64	256	3690
65	260	3687
66	264	3683
67	268	3686
68	272	3681
69	276	3674
70	280	3668
71	284	3665
72	288	3667
73	292	3662
74	296	3657
75	300	3656
76	304	3651
77	308	3647
78	312	3644
79	316	3638
80	320	3633
81	324	3627
82	327	3620
83	331	3616
84	335	3612
85	339	3607
86	343	3602
87	347	3602
88	351	3594
89	355	3591
90	359	3587
91	363	3583
92	367	3580
93	370	3574
94	374	3568
95	378	3562
96	382	3556
97	385	3552
98	389	3547
99	394	3546
100	398	3544
101	402	3540
102	406	3536
103	409	3530
104	413	3523
105	417	3519
106	421	3514
107	424	3508
108	428	3501
109	432	3498
110	436	3497
111	440	3494
112	444	3487
113	448	3485
114	452	3480
115	456	3479
116	460	3472
117	463	3467
118	467	3462
119	471	3458
120	475	3456
121	479	3451
122	483	3449
123	488	3448
124	492	3444
125	496	3440
126	500	3438
127	504	3434
128	507	3429
129	511	3424
130	515	3421
131	519	3416
132	523	3413
133	527	3408
134	531	3405
135	534	3392
136	537	3387
137	541	3383
138	545	3380
139	549	3375
140	553	3371
141	557	3368
142	561	3365
143	565	3364
144	569	3360
145	573	3356
146	577	3352
147	581	3349
148	585	3345
149	589	3341
150	593	3336
151	597	3332
152	601	3328
153	605	3324
154	608	3319
155	613	3317
156	617	3315
157	621	3313
158	626	3311
159	630	3309
160	635	3309
161	639	3306
162	643	3304
163	648	3304
164	652	3301
165	656	3298
166	660	3295
167	664	3292
168	668	3288
169	673	3285
170	676	3281
171	680	3277
172	684	3273
173	688	3270
174	692	3266
175	697	3265
176	701	3262
177	705	3259
178	709	3256
179	713	3252
180	718	3249
181	722	3246
182	726	3243
183	731	3243
184	735	3239
185	739	3236
186	743	3233
187	747	3229
188	751	3225
189	755	3222
190	760	3220
191	764	3217
192	768	3213
193	772	3208
194	776	3204
195	780	3201
196	784	3197
197	788	3193
198	792	3191
199	796	3187
200	801	3184
201	804	3179
202	809	3176
203	813	3173
204	817	3169
205	821	3164
206	825	3160
207	829	3156
208	832	3151
209	836	3148
210	840	3144
211	844	3140
212	848	3135
213	852	3131
214	856	3128
215	861	3125
216	865	3121
217	869	3117
218	873	3113
219	877	3110
220	881	3106
221	885	3101
222	889	3099
223	893	3096
224	898	3093
225	902	3091
226	906	3087
227	910	3084
228	915	3081
229	919	3077
230	923	3074
231	927	3070
232	931	3067
233	935	3063
234	940	3060
235	944	3056
236	948	3053
237	952	3049
238	956	3046
239	960	3041
240	964	3037
241	968	3033
242	972	3030
243	976	3026
244	981	3023
245	985	3019
246	989	3016
247	993	3012
248	997	3009
249	1001	3005
250	1006	3002
251	1010	2999
252	1014	2995
253	1018	2991
254	1022	2987
255	1026	2983
256	1030	2979
257	1034	2976
258	1038	2972
259	1042	2967
260	1046	2964
261	1051	2961
262	1055	2957
263	1059	2953
264	1063	2949
265	1067	2946
266	1071	2942
267	1075	2938
268	1079	2934
269	1084	2930
270	1088	2928
271	1092	2924
272	1097	2921
273	1101	2917
274	1105	2914
275	1109	2910
276	1113	2905
277	1117	2901
278	1121	2898
279	1125	2894
280	1129	2890
281	1133	2886
282	1137	2882
283	1141	2878
284	1145	2874
285	1149	2869
286	1153	2866
287	1157	2862
288	1161	2857
289	1165	2853
290	1169	2849
291	1173	2845
292	1178	2842
293	1182	2839
294	1186	2835
295	1190	2831
296	1194	2827
297	1198	2823
298	1202	2819
299	1206	2815
300	1210	2811
301	1214	2807
302	1218	2804
303	1222	2800
304	1227	2796
305	1231	2792
306	1235	2789
307	1239	2785
308	1244	2782
309	1248	2778
310	1252	2774
311	1256	2771
312	1260	2767
313	1264	2763
314	1269	2761
315	1273	2757
316	1277	2752
317	1281	2748
318	1285	2744
319	1289	2740
320	1293	2736
321	1298	2733
322	1302	2730
323	1306	2726
324	1310	2721
325	1314	2717
326	1318	2714
327	1322	2710
328	1326	2706
329	1331	2702
330	1335	2698
331	1339	2695
332	1343	2691
333	1348	2688
334	1352	2684
335	1356	2681
336	1360	2677
337	1365	2674
338	1369	2670
339	1373	2666
340	1377	2662
341	1381	2658
342	1385	2654
343	1389	2650
344	1393	2646
345	1398	2643
346	1402	2639
347	1406	2635
348	1411	2632
349	1415	2628
350	1419	2624
351	1423	2619
352	1427	2615
353	1431	2612
354	1435	2608
355	1439	2603
356	1443	2600
357	1447	2596
358	1451	2592
359	1456	2588
360	1460	2584
361	1464	2580
362	1468	2576
363	1472	2572
364	1476	2568
365	1480	2564
366	1484	2560
367	1488	2556
368	1492	2552
369	1496	2548
370	1500	2544
371	1504	2540
372	1508	2536
373	1513	2533
374	1517	2529
375	1521	2525
376	1525	2521
377	1530	2518
378	1534	2514
379	1539	2511
380	1543	2507
381	1547	2503
382	1551	2499
383	1555	2494
384	1559	2490
385	1563	2486
386	1567	2482
387	1571	2478
388	1575	2474
389	1579	2470
390	1583	2466
391	1587	2462
392	1591	2458
393	1595	2454
394	1599	2450
395	1603	2446
396	1607	2442
397	1612	2438
398	1616	2434
399	1620	2430
400	1624	2426
401	1628	2422
402	1632	2418
403	1636	2414
404	1640	2410
405	1644	2406
406	1649	2402
407	1653	2398
408	1656	2394
409	1661	2390
410	1665	2386
411	1669	2382
412	1673	2378
413	1677	2374
414	1681	2370
415	1686	2367
416	1690	2363
417	1694	2359
418	1698	2355
419	1702	2351
420	1706	2347
421	1711	2343
422	1714	2339
423	1718	2334
424	1722	2330
425	1726	2326
426	1731	2323
427	1735	2318
428	1738	2314
429	1743	2310
430	1747	2307
431	1751	2303
432	1755	2299
433	1760	2295
434	1764	2291
435	1768	2287
436	1772	2283
437	1776	2279
438	1780	2275
439	1784	2271
440	1788	2267
441	1793	2263
442	1797	2259
443	1801	2255
444	1805	2251
445	1809	2247
446	1813	2243
447	1816	2238
448	1821	2234
449	1825	2230
450	1829	2226
451	1832	2222
452	1836	2217
453	1841	2214
454	1845	2210
455	1849	2206
456	1853	2201
457	1857	2197
458	1861	2193
459	1864	2189
460	1868	2185
461	1873	2181
462	1877	2177
463	1881	2173
464	1885	2169
465	1889	2165
466	1893	2161
467	1897	2157
468	1901	2152
469	1905	2148
470	1909	2144
471	1913	2140
472	1917	2136
473	1921	2132
474	1925	2128
475	1929	2124
476	1933	2120
477	1938	2116
478	1942	2112
479	1946	2108
480	1950	2104
481	1953	2099
482	1958	2095
483	1962	2091
484	1966	2087
485	1969	2083
486	1974	2079
487	1978	2075
488	1982	2071
489	1986	2067
490	1990	2063
491	1995	2059
492	1999	2056
493	2003	2051
494	2007	2048
495	2011	2044
496	2015	2040
497	2020	2036
498	2024	2032
499	2028	2028
500	2031	2023
501	2036	2019
502	2040	2015
503	2044	2011
504	2048	2007
505	2051	2003
506	2055	1999
507	2059	1994
508	2063	1990
509	2067	1986
510	2072	1982
511	2075	1978
512	2079	1974
513	2083	1970
514	2087	1966
515	2091	1961
516	2095	1957
517	2099	1953
518	2104	1950
519	2108	1946
520	2112	1941
521	2116	1937
522	2120	1933
523	2124	1929
524	2128	1925
525	2132	1921
526	2136	1917
527	2140	1913
528	2144	1909
529	2148	1905
530	2152	1901
531	2156	1897
532	2161	1893
533	2165	1889
534	2169	1885
535	2173	1881
536	2177	1877
537	2181	1873
538	2185	1868
539	2189	1865
540	2193	1861
541	2197	1856
542	2201	1852
543	2205	1848
544	2209	1844
545	2213	1840
546	2217	1836
547	2221	1832
548	2226	1829
549	2230	1825
550	2234	1821
551	2239	1817
552	2243	1813
553	2247	1809
554	2251	1805
555	2255	1801
556	2259	1797
557	2263	1793
558	2267	1789
559	2272	1785
560	2276	1781
561	2280	1776
562	2284	1772
563	2287	1768
564	2292	1764
565	2296	1760
566	2300	1756
567	2304	1752
568	2308	1748
569	2312	1744
570	2316	1740
571	2320	1736
572	2324	1731
573	2328	1728
574	2332	1724
575	2336	1720
576	2340	1715
577	2344	1711
578	2348	1707
579	2352	1703
580	2357	1699
581	2361	1696
582	2366	1692
583	2370	1688
584	2373	1683
585	2377	1679
586	2381	1675
587	2385	1671
588	2389	1667
589	2393	1662
590	2397	1659
591	2401	1655
592	2405	1651
593	2410	1647
594	2414	1643
595	2418	1639
596	2422	1635
597	2426	1631
598	2431	1627
599	2435	1623
600	2439	1619
601	2443	1615
602	2447	1611
603	2452	1607
604	2456	1603
605	2460	1599
606	2464	1595
607	2468	1591
608	2472	1587
609	2476	1583
610	2481	1579
611	2485	1575
612	2489	1571
613	2493	1567
614	2498	1563
615	2501	1559
616	2505	1555
617	2509	1551
618	2513	1547
619	2517	1543
620	2521	1538
621	2525	1534
622	2529	1530
623	2533	1526
624	2537	1522
625	2541	1518
626	2546	1514
627	2550	1510
628	2554	1506
629	2558	1502
630	2562	1498
631	2567	1494
632	2570	1490
633	2575	1486
634	2579	1482
635	2583	1478
636	2587	1474
637	2590	1470
638	2595	1466
639	2600	1462
640	2603	1458
641	2607	1454
642	2612	1450
643	2616	1446
644	2619	1442
645	2623	1437
646	2628	1434
647	2632	1430
648	2636	1426
649	2640	1422
650	2644	1417
651	2648	1413
652	2652	1409
653	2656	1405
654	2661	1401
655	2665	1397
656	2669	1393
657	2674	1389
658	2678	1386
659	2682	1382
660	2686	1377
661	2690	1373
662	2694	1369
663	2698	1365
664	2702	1361
665	2706	1357
666	2711	1353
667	2715	1349
668	2719	1345
669	2724	1341
670	2728	1337
671	2733	1334
672	2736	1329
673	2740	1325
674	2744	1321
675	2748	1317
676	2752	1313
677	2756	1308
678	2760	1305
679	2764	1300
680	2768	1296
681	2772	1292
682	2776	1288
683	2780	1284
684	2784	1280
685	2788	1276
686	2792	1272
687	2796	1268
688	2800	1264
689	2804	1259
690	2808	1256
691	2812	1251
692	2816	1247
693	2821	1243
694	2825	1239
695	2829	1235
696	2834	1232
697	2838	1228
698	2842	1224
699	2846	1219
700	2850	1215
701	2854	1211
702	2858	1207
703	2862	1203
704	2866	1199
705	2870	1195
706	2875	1191
707	2879	1187
708	2883	1183
709	2887	1179
710	2891	1175
711	2894	1170
712	2898	1166
713	2902	1162
714	2906	1158
715	2911	1154
716	2915	1150
717	2918	1146
718	2922	1142
719	2926	1138
720	2931	1134
721	2935	1130
722	2939	1126
723	2943	1121
724	2947	1117
725	2951	1113
726	2955	1109
727	2959	1105
728	2963	1101
729	2967	1097
730	2971	1093
731	2975	1089
732	2979	1085
733	2983	1081
734	2987	1077
735	2991	1072
736	2995	1068
737	2999	1064
738	3002	1060
739	3006	1056
740	3010	1052
741	3014	1048
742	3018	1044
743	3022	1039
744	3026	1035
745	3030	1031
746	3033	1027
747	3037	1023
748	3042	1019
749	3045	1015
750	3049	1011
751	3053	1007
752	3058	1003
753	3062	999
754	3066	995
755	3070	991
756	3074	987
757	3078	982
758	3082	978
759	3086	974
760	3091	970
761	3095	966
762	3099	962
763	3103	958
764	3107	954
765	3111	950
766	3115	946
767	3119	942
768	3124	938
769	3128	934
770	3132	930
771	3137	926
772	3141	922
773	3145	918
774	3149	914
775	3154	910
776	3158	906
777	3162	902
778	3166	898
779	3170	894
780	3174	890
781	3178	886
782	3182	882
783	3186	877
784	3191	874
785	3195	870
786	3200	866
787	3204	862
788	3208	858
789	3212	853
790	3216	849
791	3221	845
792	3225	841
793	3229	837
794	3233	833
795	3237	829
796	3241	825
797	3246	821
798	3250	817
799	3254	813
800	3259	809
801	3262	805
802	3266	801
803	3271	797
804	3275	793
805	3279	789
806	3283	785
807	3288	781
808	3292	777
809	3296	773
810	3300	769
811	3304	765
812	3308	761
813	3312	756
814	3316	752
815	3320	748
816	3324	744
817	3328	740
818	3333	736
819	3337	732
820	3341	728
821	3346	724
822	3350	720
823	3354	716
824	3359	712
825	3364	708
826	3369	704
827	3374	700
828	3378	696
829	3382	692
830	3387	688
831	3391	684
832	3396	680
833	3401	676
834	3405	672
835	3410	668
836	3414	664
837	3419	660
838	3423	656
839	3428	653
840	3433	649
841	3437	645
842	3442	641
843	3446	637
844	3451	633
845	3456	629
846	3460	625
847	3465	621
848	3469	617
849	3473	612
850	3477	608
851	3483	605
852	3487	601
853	3492	597
854	3498	593
855	3503	589
856	3508	585
857	3514	581
858	3519	577
859	3524	573
860	3529	569
861	3535	565
862	3540	562
863	3545	558
864	3551	554
865	3556	550
866	3560	546
867	3565	542
868	3570	538
869	3575	534
870	3579	530
871	3584	526
872	3589	522
873	3594	518
874	3599	514
875	3604	510
876	3609	506
877	3614	502
878	3619	498
879	3623	494
880	3628	490
881	3632	485
882	3637	481
883	3641	477
884	3646	473
885	3651	469
886	3655	465
887	3660	461
888	3664	457
889	3668	453
890	3673	449
891	3676	445
892	3681	441
893	3685	436
894	3689	432
895	3694	428
896	3699	424
897	3703	420
898	3707	416
899	3712	412
900	3717	408
901	3721	404
902	3725	400
903	3729	396
904	3734	391
905	3738	387
906	3743	383
907	3747	379
908	3751	375
909	3756	371
910	3760	367
911	3764	363
912	3768	359
913	3773	355
914	3778	350
915	3782	346
916	3787	342
917	3792	338
918	3796	334
919	3800	330
920	3805	326
921	3809	322
922	3813	318
923	3818	314
924	3822	309
925	3826	305
926	3831	301
927	3836	297
928	3840	293
929	3845	289
930	3849	285
931	3854	281
932	3858	277
933	3862	272
934	3867	268
935	3871	264
936	3875	260
937	3879	256
938	3883	252
939	3887	248
940	3891	244
941	3895	239
942	3900	235
943	3903	231
944	3907	227
945	3911	223
946	3916	219
947	3921	215
948	3926	210
949	3930	206
950	3934	202
951	3938	198
952	3943	194
953	3948	190
954	3952	186
955	3957	182
956	3962	178
957	3967	173
958	3971	169
959	3975	165
960	3980	161
961	3985	157
962	3989	153
963	3993	149
964	3998	145
965	4003	140
966	4006	136
967	4011	132
968	4015	128
969	4019	124
970	4023	120
971	4028	116
972	4032	111
973	4036	107
974	4040	103
975	4044	99
976	4048	95
977	4052	91
978	4057	87
979	4060	82
980	4064	78
981	4069	74
982	4073	70
983	4077	66
984	4082	62
985	4086	58
986	4089	53
987	4094	49
988	4097	45
989	4102	41
990	4106	37
991	4110	33
992	4115	29
993	4119	24
994	4123	20
995	4126	16
996	4131	12
997	4135	8
998	4139	4
999	4143	0
